issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2026-03-01T00:14,0.2808,2.8,0.5028,0,-123.5,133.2,-100.2,4.9,0.5043,0,-276.7,270.5,308.6,5.1,0.4999,0,-839.4,1009.5,-289.0
2026-03-01T00:29,0.2797,2.9,0.5179,0,-123.6,133.5,-14.3,4.7,0.5102,0,-277.9,271.3,285.5,4.8,0.4995,0,-843.6,1013.9,-220.5
2026-03-01T00:44,0.2795,2.6,0.5110,0,-120.7,129.9,78.4,4.5,0.5064,0,-271.5,264.8,303.1,4.6,0.4997,0,-824.8,991.1,-118.8
2026-03-01T00:59,0.2796,1.4,0.5059,0,-119.7,126.5,236.8,4.1,0.5072,0,-267.5,260.3,254.3,4.4,0.4997,0,-812.6,976.3,-111.5
2026-03-01T01:14,0.278,2.3,0.5255,1,-115.7,124.2,460.5,4.2,0.5169,1,-261.0,254.3,269.7,3.9,0.4997,0,-794.6,953.6,46.7
2026-03-01T01:29,0.2793,2.0,0.4957,0,-117.2,125.2,369.0,4.3,0.4980,0,-264.2,257.6,212.5,4.1,0.5004,0,-805.2,966.7,-93.5
2026-03-01T01:44,0.2817,2.0,0.4664,1,-121.1,129.1,324.8,4.6,0.4870,0,-273.1,266.5,151.5,5.3,0.5001,0,-832.5,1001.8,-153.8
2026-03-01T01:59,0.2863,0.3,0.4515,1,-146.8,152.2,125.0,5.6,0.4834,1,-320.5,313.1,-14.0,7.8,0.5001,0,-976.9,1179.1,-341.1
2026-03-01T02:14,0.2911,0.9,0.4628,1,-180.9,188.6,-51.7,7.1,0.4820,1,-392.5,384.0,-190.7,9.6,0.5007,0,-1186.5,1432.3,-565.3
2026-03-01T02:29,0.2898,0.3,0.4749,1,-183.2,189.8,-69.3,6.4,0.4858,1,-393.8,383.7,-125.0,9.2,0.5002,0,-1177.7,1421.0,-502.4
2026-03-01T02:44,0.291,1.1,0.4682,1,-181.2,189.3,-100.2,6.8,0.4842,1,-387.6,378.8,-176.8,9.3,0.5002,0,-1150.1,1388.3,-518.4
2026-03-01T02:59,0.2899,0.8,0.4882,0,-167.4,174.4,-107.5,6.0,0.4895,0,-362.3,353.3,-138.9,8.3,0.4992,0,-1064.5,1284.3,-498.6
2026-03-01T03:14,0.2896,1.1,0.5032,0,-133.9,140.5,-139.1,5.1,0.4966,0,-294.0,287.2,-219.9,6.6,0.4985,0,-856.9,1033.7,-484.6
2026-03-01T03:29,0.2878,0.9,0.5027,0,-136.4,142.6,-87.2,5.3,0.4977,0,-302.7,295.7,-150.5,6.7,0.4982,0,-874.3,1054.6,-364.4
2026-03-01T03:44,0.2881,1.2,0.5001,0,-132.5,139.3,-73.2,5.2,0.4940,0,-298.4,291.6,-196.3,6.5,0.4978,0,-854.4,1030.6,-396.5
2026-03-01T03:59,0.2868,1.1,0.5034,0,-131.6,138.1,-31.4,5.1,0.4966,0,-296.7,289.7,-147.5,6.2,0.4976,0,-850.4,1025.1,-344.1
2026-03-01T04:14,0.2856,1.3,0.5123,0,-135.3,142.3,0.0,5.1,0.5060,0,-303.1,295.7,-102.1,6.2,0.4982,0,-860.7,1037.3,-298.5
2026-03-01T04:29,0.2853,1.4,0.5034,0,-136.6,143.7,31.5,4.8,0.5002,0,-307.0,298.9,-98.6,6.4,0.4986,0,-871.6,1050.8,-277.2
2026-03-01T04:44,0.286,1.9,0.4909,0,-133.8,142.0,-3.5,5.0,0.4935,0,-302.5,294.8,-109.0,5.9,0.4983,0,-860.6,1036.5,-327.0
2026-03-01T04:59,0.2859,1.3,0.4928,0,-130.4,137.4,0.0,4.8,0.4911,0,-294.3,286.9,-112.6,6.0,0.4977,0,-837.8,1009.7,-352.4
2026-03-01T05:14,0.2856,1.1,0.4774,1,-127.6,133.9,-80.9,4.4,0.4876,0,-288.2,280.4,-84.4,5.9,0.4972,1,-820.7,989.0,-389.1
2026-03-01T05:29,0.2862,0.8,0.4523,1,-123.1,128.8,-94.8,4.4,0.4776,1,-278.2,270.8,-108.9,5.8,0.4971,1,-793.0,955.9,-391.9
2026-03-01T05:44,0.2859,1.0,0.4755,1,-121.2,127.2,-119.6,4.3,0.4831,1,-274.7,267.5,-126.7,5.8,0.4968,1,-784.0,945.1,-337.9
2026-03-01T05:59,0.2859,1.2,0.4755,1,-120.4,126.6,-116.1,4.5,0.4832,1,-273.6,266.7,-240.7,5.8,0.4973,0,-781.9,942.6,-392.3
2026-03-01T06:14,0.2833,2.2,0.5120,0,-126.4,135.0,-21.2,4.3,0.4992,0,-290.6,282.4,-135.0,5.5,0.4976,0,-830.7,1000.1,-337.4
2026-03-01T06:29,0.2835,1.9,0.5060,0,-123.2,131.1,-35.3,4.4,0.4950,0,-283.2,275.5,-106.4,5.4,0.4981,0,-810.7,976.1,-406.8
2026-03-01T06:44,0.2825,2.0,0.5157,0,-124.2,132.2,14.1,4.3,0.5033,0,-286.0,278.1,-117.5,5.6,0.4982,0,-819.3,986.6,-356.7
2026-03-01T06:59,0.2826,2.2,0.5103,0,-123.8,132.4,3.5,4.3,0.5066,0,-286.5,278.5,-139.0,5.6,0.4989,0,-821.3,989.2,-382.3
2026-03-01T07:14,0.2827,1.8,0.5009,0,-118.7,126.3,17.7,4.1,0.5002,0,-274.5,266.9,-149.7,5.7,0.4995,0,-787.6,949.3,-467.1
2026-03-01T07:29,0.2825,2.6,0.5055,0,-117.7,126.7,21.2,4.1,0.5024,0,-274.4,266.7,-139.0,5.2,0.4988,0,-788.4,949.2,-423.0
2026-03-01T07:44,0.2829,0.7,0.4855,0,-116.3,121.5,-21.2,3.8,0.4939,0,-267.8,259.9,-153.2,4.8,0.4987,0,-769.8,926.2,-418.7
2026-03-01T07:59,0.2827,1.6,0.4877,0,-109.7,116.4,-128.2,3.5,0.4932,0,-255.1,247.5,-146.1,4.6,0.4979,0,-734.0,883.2,-433.8
2026-03-01T08:14,0.2832,1.7,0.4669,1,-104.2,111.0,-131.5,3.3,0.4747,1,-243.4,235.9,-160.2,4.6,0.4977,0,-700.5,843.2,-458.8
